English,Bangla
Chaila,ছাইলা
Impatient,অধীর
Let Him Know,তাঁকে জানতে দাও
In Faith,বিশ্বাসে
The Move,পদক্ষেপ
Chicken,চিকেন
Mally,ম্যালি
Cracked,ফাটল
Prison,কারাগার
At The Police Station,পুলিশ স্টেশনে
Schindler'S,শিন্ডলার এস
On The Stairs,সিঁড়ি উপর
The Batter,পিটা
Chime,চিম
New York,নিউইয়র্ক
Comrade,কমরেড
Moment,মুহূর্ত
Garrido,গ্যারিডো
Option,অপশন
Will Rotate,ঘুরবে
Ricoletti,রিকোলেটি
Of The Building,বিল্ডিং এর
I Will Play,আমি খেলব
Bulls,ষাঁড়
Brant,ব্রান্ট
Arnold,আর্নল্ড
New Year,নববর্ষ
At Risk,ঝুঁকিতে
Durotan,দুরোটান
To The Team,দলের কাছে
Have You Gone,তুমি কি চলে গেছ
Vitali,ভিটালি
To The Government,সরকারের কাছে
Let'S Look,আসুন দেখি
In The Hand,হাতে
The Cheese,পনির
Lucinda,লুসিন্ডা
The Inside,ভিতরে
Openly,খোলামেলা
Will Cut,কাটবে
In Custody,হেফাজতে
By Order,আদেশ দ্বারা
Annie,অ্যানি
The Shop,দোকানটি
Filed,ফাইল করা হয়েছে
In-Hey,ইন-হে
Of Emotion,আবেগের
Gentleness,ভদ্রতা
Disgusting,জঘন্য
Japan,জাপান
At Which,কোনটিতে
The Contract,চুক্তি
Unstoppable,অপ্রতিরোধ্য
Separately,আলাদাভাবে
Mexico,মেক্সিকো
The Hindu,হিন্দু
In The Compartment,কম্পার্টমেন্টে
Lawyer'S,আইনজীবী
The Leaders,নেতাগণ
Of The Virus,ভাইরাসের
Battlefield,যুদ্ধক্ষেত্র
Gangster,গ্যাংস্টার
Score,স্কোর
Accountability,দায়িত্ব
Throwing,নিক্ষেপ
Punch,ঘুষি
Overwhelmed,অভিভূত
Used To See,দেখতে ব্যবহৃত
Son Too,পুত্রও
Voldemort'S,ভলডেমর্টস
The Owl,পেঁচা
Of The Force,ফোর্স এর
Bilal,বিলাল
Of The Fort,দুর্গের
Stabbing,ছুরিকাঘাত
Client,ক্লায়েন্ট
Rahman,রহমান
Laser,লেজার
The Fairies,পরী
Devastating,বিধ্বংসী
Of Eggs,ডিমের
Will Sleep,ঘুম হবে
Mythical,পৌরাণিক
Was Showing,দেখাচ্ছিল
Master'S,মাস্টার্স
Doll'S,পুতুল
Plastic,প্লাস্টিক
Laughter,হাসি
Guang,গুয়াং
In The Ship,জাহাজে
Chewing Gum,চুইংগাম
Yusuf,ইউসুফ
Dwarf,বামন
Of The Newspaper,দ্য নিউজপেপারের
Recap,রিক্যাপ
Of Crying,কান্নার
Mithra,মিত্রা
Reverend,শ্রদ্ধেয়
Ji-Young,জি-ইয়ং
Thirsty,তৃষ্ণার্ত
Advertisement,বিজ্ঞাপন
Eight O'Clock,আটটা বাজে
Nobody,কেউ না
The Ronin,রনিন
Buvra,বুভরা
Fortunately,ভাগ্যক্রমে
Jonathan,জনাথন
I Will Live,আমি বাস করব
The Horizon,দিগন্ত
Nelson,নেলসন
Surname,পদবি
Grandma,ঠাকুরমা
Medic,চিকিত্সক
The Whistle,বাঁশি
Awasthi,অবস্থি
The Dementors,ডিমেনটরস
The Feeling,অনুভূতি
Money Too,টাকাও
Elite,অভিজাত
In One Day,একদিন
Pious,ধার্মিক
Rural,গ্রামীণ
Ronan'S,রোনানের এস
Forest Guard,ফরেস্ট গার্ড
The Co-Op,কো-অপ
Comic,কমিক
Scotland,স্কটল্যান্ড
Earning,উপার্জন
Committee,কমিটি
Longshanks,লংশ্যাঙ্কস
The Tissue,টিস্যু
In Full,পুরাপুরি
So Called,তাই বলা হয়
Will Get Up,উঠবে
Will Sound,শব্দ হবে
On The Map,মানচিত্রে
Chick,চিক
Of Holmes,হোমসের
Of Suit,স্যুটের
Marion,মেরিয়ন
The Airline,এয়ারলাইন
In Jail,জেলে
August,আগস্ট
Grimm,গ্রিম
Shame On You,লজ্জা করে না আপনার
Vodka,ভদকা
Of Speed,গতির
Unique,অনন্য
Benedict,বেনেডিক্ট
Technique,প্রযুক্তি
Jimmy'S,জিমি'স
Of Mobile,মোবাইলের
Of Character,চরিত্রের
Jerry,জেরি
Little One,ছোট একটি
Morale,মনোবল
Surgery,সার্জারি
Float On,ভাসা
Christopher,ক্রিস্টোফার
The Sphere,গোলক
Basketball,বাস্কেটবল
Tissue,টিস্যু
Of The Station,স্টেশনের
Jokes,জোকস
Three Days,তিন দিন
Jackie,জ্যাকি
Actress,অভিনেত্রী
Published,প্রকাশিত হয়েছে
Will Suit,স্যুট হবে
Liberty,স্বাধীনতা
Recording,রেকর্ডিং
Prosecutor,প্রসিকিউটর
Of The Media,মিডিয়ার
A Fighter,একজন যোদ্ধা
Criticism,সমালোচনা
Inaction,নিষ্ক্রিয়তা
On The One Hand,এক হাতে
September,সেপ্টেম্বর
Of The Target,টার্গেটের
Television,টেলিভিশন
All Own,সব নিজের
How Many Days,কতদিন
Pabna,পাবনা
Of The Desert,মরুভূমির
Trade,বাণিজ্য
The Paw,থাবা
Applicable,প্রযোজ্য
In Power,ক্ষমতায়
Blowing,ফুঁ
Fired,বরখাস্ত
Broker,দালাল
The Memories,স্মৃতি
In Memory,স্মৃতিতে
Fantastic,ফ্যান্টাস্টিক
Of Gifts,উপহারের
Haughty,উদ্ধত
Assassin,ঘাতক
Registration,নিবন্ধন
The Pirates,জলদস্যু
Of The Gang,গ্যাং এর
Handcuffed,হাতকড়া পরা
Barrel,পিপা
Antibodies,অ্যান্টিবডি
Exciting,উত্তেজনাপূর্ণ
Vampire,ভ্যাম্পায়ার
The Leak,লিক
Accommodate,মিটমাট করা
Squeeze Out,আলিঙ্গন
Adulterated,ভেজাল
The Chain,চেন
I Loved,আমি ভালবেসেছিলাম
"10,000","10,000"
Gambling,জুয়া
Guide,গাইড
On A Trip,ভ্রমণে আছি
In The Apartment,অ্যাপার্টমেন্টে
Looks At,দেখো
Hurry Up,তারাতারি কর
By Floating,ভাসমান দ্বারা
Of The Matrix,ম্যাট্রিক্সের
In Clothes,পোষাকের
In Translation:,অনুবাদে:
Speaker,স্পিকার
Syrup,সিরাপ
Of Electricity,বিদ্যুতের
Lieut,লে
Seiram,সেইরাম
Intoxicated,নেশাগ্রস্ত
Shaking,কাঁপছে
Shouting,চিৎকার করছে
Afford,সামর্থ
The Jinns,জ্বীন
Salute,অভিবাদন
Aishwarya,ঐশ্বরিয়া
Funeral,অন্ত্যেষ্টিক্রিয়া
At The Bottom,নিচে
Tadashi,তাদাশি
To Raise,বাড়াতে
Amsterdam,আমস্টারডাম
Color,রঙ
Allegedly,অভিযোগে
Slow Down,আস্তে আস্তে
5 O'Clock,5 টা বাজে
Of Monks,সন্ন্যাসীদের
Rabbit,খরগোশ
Conventional,প্রচলিত
Of Pakistan,পাকিস্তানের
Radar,রাডার
Fuller,ফুলার
The Dean,ডীন
Vicky,ভিকি
Reflection,প্রতিফলন
The Maximum,সর্বোচ্চ
In A Way,এ ওয়ে
Surprisingly,আশ্চর্যজনকভাবে
Of The Vatican,ভ্যাটিকান এর
Of Failure,ব্যর্থতার
Cedric,সেড্রিক
Of The Client,ক্লায়েন্ট এর
Terrorists,সন্ত্রাসীরা
Scanner,স্ক্যানার
The Beach,সৈকত
Casino,ক্যাসিনো
The Turtle,কচ্ছপ
Elvish,এলভিশ
In The Maze,গোলকধাঁধায়
The Wheels,চাকাগুলো
Braking,ব্রেকিং
Confession,স্বীকারোক্তি
The Mess,মেস
Residential,আবাসিক
On The Clock,ঘড়ি
Constantly,প্রতিনিয়ত
Cousins,কাজিন
Maggie,ম্যাগি
Drill,ড্রিল
Teresa,তেরেসা
Bolens,বোলেনস
Malekith,মালেকিথ
In Society,সমাজে
Chopper,চপার
Is Standing,দাঁড়িয়ে আছে
Silver,সিলভার
Minho,মিনহো
Darren,ড্যারেন
Upset,মর্মাহত
These Things,এই জিনিসগুলি
Lance,ল্যান্স
The Sage,ঋষি
Of The Princess,রাজকুমারীর
Were Watching,দেখছিলেন
Cheerful,আনন্দিত
Charming,কমনীয়
The Giants,দৈত্য
Penetration,অনুপ্রবেশ
Fakir,ফকির
The Knot,গিঁট
Curiosity,কৌতূহল
Adoption,দত্তক
Genetic,জেনেটিক
Dhong,ধং
Verruca,ভেরুকা
Bhangti,ভাংতি
Discomfort,অস্বস্তি
If You Win,যদি আপনি জয়ী হন
In The Morgue,মর্গে
Dunan,ডুনান
The Titanic,টাইটানিক
Accepted,গৃহীত
The War,যুদ্ধ
Glimpse,ঝলক
November,নভেম্বর
Purse,পার্স
Content,বিষয়বস্তু
Niang,নিয়াং
Doesn'T Give,দেয় না
The Kid,শিশুটি
Vitamins,ভিটামিন
In Chipa,চিপায়
Trunk,কাণ্ড
Commotion,হৈচৈ
In Control,নিয়ন্ত্রণ
The Eye,চোখ
Ruthless,নির্মম
Unmarried,অবিবাহিত
Not Giving,দিচ্ছে না
Dawson,ডসন
Cross-Examination,ক্রস-পরীক্ষা
Representative,প্রতিনিধি
Branch,শাখা
Was Sitting,বসা ছিল
Organic,জৈব
The Seventh,সপ্তম
In The Paper,কাগজে
Precious,মূল্যবান
Caste,জাত
In The Flower,দ্য ফ্লাওয়ারে
The Stream,প্রবাহ
President,রাষ্ট্রপতি
The Desk,ডেস্ক
Relay,রিলে
Parthaj,পার্থজ
Sweat,ঘাম
Scary,ভীতিকর
Forty,চল্লিশ
Shelter,আশ্রয়
Of Television,টেলিভিশনের
Headquarters,সদর দপ্তর
Of Permission,অনুমতির
The Beard,দাড়ি
Grams,গ্রাম
Reception,অভ্যর্থনা
Helias,হেলিয়াস
At The Zoo,চিড়িয়াখানায়
The Mistakes,ভুলগুলো
In Complaint,অভিযোগে
The Coach,খেলাধুলার প্রশিক্ষক
Unholy,অপবিত্র
Of The Block,ব্লকের
Bulletproof,বুলেটপ্রুফ
In A Coma,কোমায়
Flute,বাঁশি
Of The Pen,পেনের
Tie Up,বেঁধে ফেলা
Entertainment,বিনোদন
I Will Dance,আমি নাচবো
In Mexico,মেক্সিকো
Markaz,মারকাজ
Runs Away,পালিয়ে যায়
The Janitor,দ্বাররক্ষক
Worlds,বিশ্ব
Product,পণ্য
Bad Too,খুব খারাপ
In The Rain,বৃষ্টিতে
Shine,চকচকে
Swiss,সুইস
The Ghetto,ঘেটো
Cut Out,কাট আউট
The Zone,এলাকা
Of Row,সারির
The Germans,জার্মান
The Surface,সারফেস
Of Competition,প্রতিযোগিতার
Sweetie,সুইটি
One Time,একবার
To Sir,স্যারের কাছে
The Broom,ঝাড়ু
Spreads,ছড়ায়
The Shoulder,অংস
Of The Lake,লেকের
In The Building,দালানটিতে
Translation:,অনুবাদ:
Civilization,সভ্যতা
Words,শব্দ
Blood,রক্ত
Hello Dad,হ্যালো বাবা
Essential,অপরিহার্য
Of Fruit,ফলের
Danger Free,বিপদমুক্ত
Hovart,হোভার্ট
Pumbaa,পুম্বা
Don'T Move,ডোন্ট মুভ
Toast,টোস্ট
Rough,রুক্ষ
Hamilton,হ্যামিলটন
Wheat,গম
Kasumi,কাসুমি
The Colony,উপনিবেশ
Coupe,কুপ
Won'T Give,দেবে না
The Politician,রাজনীতিবিদ
Of The Fog,কুয়াশার
The Pastor,যাজক
Of The Mask,মুখোশের
Marijuana,মারিজুয়ানা
Laura'S,লরার এস
Compromise,আপস
The Buffalo,মহিষ
Print,ছাপা
Companions,সঙ্গী
I Will Sit,আমি বসব
On The Bridge,ব্রিজে
Various,বিভিন্ন
Mangeya,মাঙ্গেয়া
Pegasus:,পেগাসাস:
Ahsan,আহসান
Of The Council,কাউন্সিলের
Affection,স্নেহ
In Hyderabad,হায়দরাবাদে
Cling To,ধরে থাক
The Road,রাস্তাটি
In Japan,জাপানে
Of The Bottle,বোতলের
Ha-Ha-Ha,হা-হা-হা
Closer,কাছাকাছি
The Penguins,পেঙ্গুইন
Boots,বুট
Girlfriend'S,গার্লফ্রেন্ডের
To The Children,শিশুদের কাছে
Harimao,হরিমাও
Shave,কামান
Testing,পরীক্ষামূলক
Rajshahi,রাজশাহী
Chemical,রাসায়নিক
Rubber,রাবার
Labbaik,লাব্বাইক
Banquet,ভোজ
At The Border,সীমান্তে
Emilia,এমিলিয়া
The Maze,গোলক - ধাধা
Difference Of Opinion,মতামতের পার্থক্য
Blast,বিস্ফোরণ
Did Not Kill,হত্যা করেনি
Slytherin,স্লিদারিন
Chess,দাবা
Thailand,থাইল্যান্ড
Lemon,লেবু
Tesla,টেসলা
In The Meeting,বৈঠকে
In Things,জিনিসপত্র
Leaving,চলে যাচ্ছে
In The Cemetery,কবরস্থানে
The Towel,তোয়ালে
Good News,ভাল খবর
Conversion,পরিবর্তন
Of Giants,দৈত্যদের
The Beat,দ্য বিট
Of Cancer,কর্কটের
Of The Deck,ডেকের
The Alien,ভিনগ্রহবাসী
The State,রাষ্ট্র
To The Father,পিতার কাছে
Shilpa,শিল্পা
Kubra,কুবরা
Of Forgiveness,ক্ষমার
Teaches,শেখায়
Ancestor,পূর্বপুরুষ
By Reading,পড়ার মাধ্যমে
Relief,ত্রাণ
Supporter,সমর্থক
Symbol Of Liberation,মুক্তির প্রতীক
Waters,জল
Course,কোর্স
Barely,সবে
In Shame,লজ্জায়
Manu Bhai,মনু ভাই
Tempt,টেম্পট
Arian,আরিয়ান
Hells,হেলস
Of The Monastery,মঠের
On The Bike,বাইকে
Eternity,অনন্তকাল
Hypocrite,ভণ্ড
Dry Up,শুকানো
Rainy,বর্ষা
I Will Drop,আই উইল ড্রপ
Creeper,লতা
Intention,অভিপ্রায়
Big Guy,বড় লোক
All Of A Sudden,হঠাৎ
Darrow,দারো
Margaret,মার্গারেট
To The Doctor,ডাক্তারের কাছে
The Core,কেন্দ্র
Zebra,জেব্রা
1 O'Clock,1 টা বাজে
Knowingly,জেনেশুনে
Cerebro,সেরিব্রো
Katyal,কাত্যল
Melbourne,মেলবোর্ন
On The Balcony,ব্যালকনিতে
Caspian,ক্যাস্পিয়ান
Estus,এস্টাস
The Birds,পাখিগুলো
Danton,ডান্টন
Deputy,সহকারী
Makeup,মেকআপ
Of Edwards,এডওয়ার্ডসের
To Suit,স্যুট করতে
To Advance,আগাম
The Wounded,আহত
Apprehension,আশংকা
Exchange,বিনিময়
Allowed,অনুমোদিত
In The Chamber,চেম্বারে
Timothy,টিমোথি
Fitzgerald,ফিটজেরাল্ড
The Rebels,বিদ্রেহীরা
Narnia,নার্নিয়া
On Camera,ক্যামেরা
To Accept,গ্রহণ করতে
Erika,এরিকা
Of Numbers,সংখ্যার
The Numbers,সংখ্যা
Dumbledore'S,ডাম্বলডোর
I Killed,আমি নিহত
Of Strategy,কৌশলের
Angelo,অ্যাঞ্জেলো
Unhappy,অসুখী
Of Drama,নাটকের
At That Time,সেই মুহূর্তে
Allah'S,আল্লাহর
Azkaban,আজকাবান
Bad Name,বাজে নাম
Quantum,কোয়ান্টাম
Shortage,স্বল্পতা
Watcher,প্রহরী
Vegas,ভেগাস
Spiritual,আধ্যাত্মিক
In That Case,এই ক্ষেত্রে
At The Limit,লিমিটে
Harami'S,হারামি'স
Ja-Sung,জা-সুং
On The Ground Floor,নিচতালাতে
Of Surprise,সারপ্রাইজ
The Monastery,মঠ
In The Tower,টাওয়ারে
Nutrition,পুষ্টি
Looking At,দিকে তাকাও
Don'T Be Afraid,ভয় পাবেন না
Malena,মালেনা
Number Of,সংখ্যা
Mirror,আয়না
Write Down,লেখ
The Pearl,মুক্তা
Not Dead,মরে নাই
Awesome,অসাধারণ
Gujrani,গুজরানী
Expeliarms,এক্সপ্লিআর্মস
Liliana,লিলিয়ানা
The Shark,হাঙর
Costello,কস্টেলো
The Grid,গ্রিড
To Batman,ব্যাটম্যানের কাছে
Minister'S,মন্ত্রীর এস
Drops,ফোঁটা
People:,মানুষ:
Coming Down,কমিং ডাউন
Officials,কর্মকর্তারা
As Possible,যতটুকু সম্ভব
Eternal Life,অনন্ত জীবন
Confirmed,নিশ্চিত করা হয়েছে
Young-Go,ইয়ং-গো
4 O'Clock,4 টা বাজে
Syndicate,সিন্ডিকেট
Firearm,আগ্নেয়াস্ত্র
The Chameleon,গিরগিটি
Bangaiuru,বাঙ্গাইউরু
Life Is,জীবন
Allocation,বরাদ্দ
Unruly,অশান্ত
Seller,বিক্রেতা
To Sniff,শোকা
Blueprint,ব্লুপ্রিন্ট
Ricardo,রিকার্ডো
Chubena,চুবেনা
Ascetic,তপস্বী
In India,ভারতে
Khattab,খাত্তাব
Curved,বাঁকা
Bloody,রক্তাক্ত
The Sonata,সোনাটা
Lightning,বজ্র
Carina,কারিনা
Lecture,বক্তৃতা
By Forcing,জোর করে
Dreyman,ড্রেম্যান
Bajarangbali,বজরংবলী
The Selkie,সেলকি
Dishonesty,অসততা
The Ridge,দ্য রিজ
Hi-One,হাই-ওয়ান
Kiran,কিরণ
Shure,শুরে
Trick,কৌতুক
In The Cold,ঠান্ডার মধ্যে
Name:,নাম:
Of Action,কর্মের
Customs,কাস্টমস
Sensor,সেন্সর
Opposition,বিরোধী দল
The Fence,বেড়া
Of Fiti,ফিতির
Rest Assured,আশ্বস্ত
When You Return,তুমি যখন ফিরবে
Of Goods,পণ্য
Exercise,ব্যায়াম
Profitable,লাভজনক
Of Thousands,হাজারের
Gretel,গ্রেটেল
The Ocean,মহাসাগর
In A Trick,একটি কৌতুক মধ্যে
In The Shade,ছায়ায়
If You Die,যদি আপনি মারা যান
In Courage,সাহসে
Of Both,উভয়
Of Taste,স্বাদের
Disaster,বিপর্যয়
Magic Spell,জাদু মন্ত্র
Socks,মোজা
Jagnu,জগনু
Cheating,প্রতারণা
In The Army,সেনাবাহিনীতে
Within Reach,নাগালের মধ্যে
Stein,স্টেইন
To The Lover,প্রেমিকের কাছে
Waste,বর্জ্য
Zamperini,জাম্পেরিনি
The Students,ছাত্রছাত্রীরা
"5,000","5,000"
See Also,আরো দেখুন
Petronum,পেট্রোনাম
Cargo,জাহাজী মাল
I Will Write,আমি লিখব
In Safety,নিরাপত্তায়
Alliance,জোট
Quidditch,কুইডিচ
Poster,পোস্টার
Glenbrook,গ্লেনব্রুক
Waller,ওয়ালার
Renovation,সংস্কার
To The Enemy,শত্রুর কাছে
Of Sight,দৃষ্টিশক্তি
Contribution,অবদান
In The Theater,থিয়েটারে
Chfffa0D,Chfffa0D
Denise,ডেনিস
The Lane,লেন
Squad,স্কোয়াড
The Pizza,পিজা
Of The Fridge,ফ্রিজের
Blocking,ব্লকিং
Measles,হাম
Roxanne,রোক্সান
Commodore,কমোডর
Denham,ডেনহাম
To Jimmy,জিমির কাছে
Of The Great Wall,গ্রেট ওয়ালের
Bomber,বোমারু
Grandma'S,ঠাকুমা
Things Too,জিনিস খুব
Jan-Baptist,জান-ব্যাপটিস্ট
Of The Unit,ইউনিটের
Deliberately,ভেবেচিন্তে
If You Leave,যদি তুমি ত্যাগ কর
To Melt,দ্রবীভূত করতে
Of Order,আদেশ
Spends,খরচ করে
Tolerating,সহ্য করা
In A Helicopter,হেলিকপ্টারে
Kutta,কুত্তা
The Glass,কাচটি
Hammond,হ্যামন্ড
To Arrange,ব্যবস্থা
Malayali,মালয়ালি
Racing,দৌড়
Of Ability,ক্ষমতার
The Runner,রানার
Tennessee,টেনেসি
In Seat,সিটে
Daniels,ড্যানিয়েলস
Tamiza,তমিজা
Selvam,সেলভাম
One Place,এক জায়গায়
The Video,ভিডিও
As Promised,প্রতিশ্রুত
Of Poison,বিষের
In The Mirror,দ্য মিররে
In Retirement,অবসরে
Hooray,হুররে
Cowed,কাউড
The Pin,পিন
Roll Over,রোল ওভার
The Greek,গ্রীক
In The Window,উইন্ডোতে
In The Museum,জাদুঘরে
Even In The Year,এমনকি বছরেও
Of Need,প্রয়োজনের
Of Arrival,এর আগমন
The Letters,চিঠিগুলো
By Rolling,রোলিং দ্বারা
Fragrance,সুবাস
The Doors,দরজা গুলো
Clean,পরিষ্কার
Angle,কোণ
In This Case,এক্ষেত্রে
Sitting Down,বসা
Gautama,গৌতম
Metallic,ধাতব
Cavity,গহ্বর
Amulet,তাবিজ
Jean-Louis,জিন-লুইস
Module,মডিউল
Nyangta,ন্যাংটা
In The Capital,রাজধানীতে
Of Gryffindor,গ্রিফিন্ডরের
I Looked,আমি দেখেছি
Mechanical,যান্ত্রিক
Appointment,নিয়োগ
Knock Out,নক আউট
Gregory,গ্রেগরি
Sleeping,ঘুমন্ত
Death Is,মৃত্যু হল
Engineering,প্রকৌশল
Jhakkas,ঝাক্কাস
Linda,লিন্ডা
Vibration,কম্পন
At Midnight,মাঝরাতে
Of Chocolate,চকোলেট এর
The Blade,কাটার যন্ত্র
Uncomfortable,অস্বস্তিকর
Manhattan,ম্যানহাটন
Dinar,দিনার
The Routine,দৈনন্দিন
Transferred,স্থানান্তরিত
Decision,সিদ্ধান্ত
Passover,নিস্তারপর্ব
Trajectory,গতিপথ
Laptop,ল্যাপটপ
Of Evolution,বিবর্তনের
Corporal,কর্পোরাল
Logical,যৌক্তিক
The Scene,দৃশ্য
Decade,দশক
Of The Corporation,কর্পোরেশনের
Own Too,নিজেরও
The Names,নাম গুলো
Unarmed,নিরস্ত্র
Gayatri,গায়ত্রী
Six People,ছয় জন
Engaged In,জড়িত
The Afternoon,বৈকাল
Kuthu,কুঠু
Dying,মরণ
Email,ইমেইল
The Motor,মোটরটি
Will Teach,শিক্ষা দেবে
Of Merit,মেধার
Sheikh,শেখ
Paint,পেইন্ট
Of Right,ডান
Established,প্রতিষ্ঠিত
Jarvis,জার্ভিস
Of Command,কমান্ডের
Of Arrangement,ব্যবস্থার
Slope,ঢাল
Coiled,কুণ্ডলীকৃত
At The Center,কেন্দ্রে
Terminal,টার্মিনাল
To David,ডেভিডের কাছে
Enlightened,আলোকিত
Strain,স্ট্রেন
Upcoming,আসন্ন
Stale,বাসি
Becky,বেকি
The Carrot,গাজর
Large,বড়
Eat Up,সাবাড় করা
Banner,ব্যানার
Alexander,আলেকজান্ডার
Ayesh,আয়েশ
6 O'Clock,6 টা বাজে
Filling Up,পূরণ করা
The Depth,গভীরতা
To Some,কিছু
Merit,যোগ্যতা
Twist,টুইস্ট
To Burn,জ্বলতে
Persistence,জেদ
The Floor,মেঝে
Cameron,ক্যামেরন
Bitter,তিক্ত
The Guards,রক্ষিবাহিনী
Researcher,গবেষক
You Were Thinking,আপনি চিন্তা করছেন
Of The Lips,ঠোঁটের
Ping Pong,পিং পং
Of Revolution,বিপ্লবের
Chandler,চ্যান্ডলার
The Baggage,লাগেজ
Funds,তহবিল
To The Princess,রাজকুমারীর কাছে
Attentive,মনোযোগী
Blackbeard,ব্ল্যাকবিয়ার্ড
Harford,হারফোর্ড
Hydra,হাইড্রা
Scooter,স্কুটার
Albanian,আলবেনিয়ান
Grade,শ্রেণী
Inserted,ঢোকানো হয়েছে
Of Caution,সতর্কতার
The Violin,বেহালা
The Persian,পারস্য
The Supernatural,অতিপ্রাকৃত
Bye Bye,বাই বাই
Of The Prophet,নবীর
Empire,সাম্রাজ্য
Shambhu,শম্ভু
Hitler,হিটলার
Saree,শাড়ি
Sat Down,বসেছিল
Hakuna,হাকুনা
Privately,ব্যক্তিগতভাবে
Valentine,ভ্যালেন্টাইন
Lothar,লোথার
Perspective,দৃষ্টিকোণ
Raccoon,র্যাকুন
Galley,গ্যালি
Yesterday'S,গতকালের এস
To Build,গঠন করা
Agenor,Agenor
Coconut,নারকেল
Of Persons,ব্যক্তিদের
Subject To,বিষযে
Mess Up,বিশৃুঙ্খলা
Philly,ফিলি
To Reduce,কমাতে
Circuit,সার্কিট
Picnic,চড়ুইভাতি
Collins,কলিন্স
Risky,ঝুঁকিপূর্ণ
In The Casino,ক্যাসিনোতে
In Europe,ইউরোপ
The Priest,পুরোহিত
Didra,দিদরা
Companion,সহচর
In Agreement,চুক্তিতে
Spread,ছড়িয়ে পড়া
Microphone,মাইক্রোফোন
Has Left,রেখে গেছে
Remus,রেমাস
In Profession,পেশায়
The Murder,খুনটি
Distracted,বিক্ষিপ্ত
Of Possibility,সম্ভাবনার
Gollum,গোলাম
Of Interrogation,জিজ্ঞাসাবাদের
The Prisoner,বন্দী
Rachel'S,রাহেলার এস
Province,প্রদেশ
In Operation,অপারেশনে
Interpol,ইন্টারপোল
Financial,আর্থিক
Corruption,দুর্নীতি
Buffur,বাফুর
Of Vietnam,ভিয়েতনামের
Of Customers,গ্রাহকদের
The Street,রাস্তা
Isidoro,ইসিডোরো
Badass,বদমাশ
The File,ফাইল
Of Slytherin,স্লিথারিনের
The Mosquito,মশা
Guest,অতিথি
Docking,ডকিং
In Search Of,অনুসন্ধানে
Moderate,পরিমিত
Illusion,বিভ্রম
Of Grass,ঘাসের
Of Civilization,সভ্যতার
Commission,কমিশন
Rise Up,জেগে উঠো
In Africa,আফ্রিকায়
Of Responsibility,দায়িত্ব
Humble,নম্র
In Everything,সবকিছুতে
Setting,বিন্যাস
The Training,প্রশিক্ষণ
The Worship,উপাসনা
Resist,প্রতিহত করা
Nephew,ভাতিজা
In Parts,অংশে
Pills,বড়ি
Access,অ্যাক্সেস
All Of It,এটার সবগুলো
I Won'T Go,আমি যাবো না
Will Reach,পৌঁছাবো
Saddam,সাদ্দাম
Wallace'S,ওয়ালেসের এস
Earth,পৃথিবী
The Nomad,যাযাবর
Headmaster,প্রধান শিক্ষক
To Fuck,ফাক করতে
Generally,সাধারনত
Of Hogwarts,হগওয়ার্টসের
To Achieve,অর্জন করতে
At The Meeting,সাক্ষাতে
The Embassy,দূতাবাস
Ajnur,অজনুর
Sweetheart,প্রণয়ী
Jerusalem,জেরুজালেম
Corrected,সংশোধন করা হয়েছে
Of The Ark,সিন্দুকের
Of The Crown,ক্রাউন এর
Ernie,আর্নি
In Food,খাদ্যে
Thompson,থম্পসন
Of Scotland,স্কটল্যান্ডের
Saito,সাইতো
Of The Syndicate,সিন্ডিকেটের
To Potter,পটারের কাছে
Surround,ঘেরা
Religious Guru,ধর্মগুরু
Broke,ভেঙেছে
In The Ocean,সমুদ্রের মধ্যে
I Lost,আমি হেরে গেছি
Colleagues,সহকর্মীরা
Thrusters,থ্রাস্টারস
Kneel Down,হাঁটু গাড়া
Underground,ভূগর্ভস্থ
In The Mood,মেজাজে
Of Rest,বিশ্রামের
Buried,প্রোথিত
Beneficial,উপকারী
Was Born,জন্মেছিল
Entangled,জড়ানো
Mairi,মাইরি
You Keep,তুমি রাখো
Shash,শশ
Of The File,ফাইলের
Ministry Of,মন্ত্রণালয়
Treaty,সন্ধি
Quick,দ্রুত
At Winterfell,উইন্টারফেলে
Sawyer,সায়ার
The Local,স্থানীয়
Diagnosis,রোগ নির্ণয়
In Germany,জার্মানিতে
Mystic,রহস্যময়
Visual,ভিজ্যুয়াল
Of The Witch,অফ দ্য উইচ
In The Van,ভ্যানে
Of Intelligence,বুদ্ধিমত্তার
Hyung-Joon,হিউং-জুন
Dancing,নাচ
Urination,প্রস্রাব
Buddy,বন্ধু
The Waste,বর্জ্য
Murchison,মুর্চিসন
Of Coon,কুনের
Period,সময়কাল
The Bat,বাদুড়
Atonement,প্রায়শ্চিত্ত
Repentance,অনুতাপ
Belikoff,বেলিকফ
Of Surveillance,নজরদারি
Briefcase,ব্রিফকেস
Formally,আনুষ্ঠানিকভাবে
Of Thinking,চিন্তার
In Orbit,কক্ষপথে
Luther,লুথার
Scotch,স্কচ
Dolly,ডলি
Madurai,মাদুরাই
Curfew,কারফিউ
Of Honesty,সততার
The Corner,কোনা
Write,লিখুন
Screw,স্ক্রু
Khaki,খাকি
Of Friendship,বন্ধুত্বের
Out Of Work,অকেজো
Hagrid'S,হ্যাগ্রিড'স
Mcgonagall,ম্যাকগোনাগাল
Antony,অ্যান্টনি
Imran,ইমরান
